name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink,planet_type,temp_discovery_date,temp_mass,planet_radius,orbital_radius,orbital_period,eccentricity
HATS-40 b,4379,1.59 Jupiters,13.478,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6283/hats-40-b/,Gas Giant,2018,1.59 Jupiters,1.58 x Jupiter,0.04997 AU,3.3 days,< 0.312
,,,,,,,,,,,,
HATS-41 b,2406,9.7 Jupiters,12.678,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6284/hats-41-b/,Gas Giant,2018,9.7 Jupiters,1.33 x Jupiter,0.0583 AU,4.2 days,0.38
,,,,,,,,,,,,
HATS-42 b,2611,1.88 Jupiters,13.682,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6285/hats-42-b/,Gas Giant,2018,1.88 Jupiters,1.4 x Jupiter,0.03689 AU,2.3 days,< 0.229
,,,,,,,,,,,,
HATS-43 b,1182,0.261 Jupiters,13.562,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6298/hats-43-b/,Gas Giant,2018,0.261 Jupiters,1.18 x Jupiter,0.04944 AU,4.4 days,0.17
,,,,,,,,,,,,
HATS-44 b,1455,0.56 Jupiters,14.397,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6299/hats-44-b/,Gas Giant,2018,0.56 Jupiters,1.067 x Jupiter,0.03649 AU,2.7 days,< 0.279
,,,,,,,,,,,,
HATS-45 b,2519,0.7 Jupiters,13.325,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6300/hats-45-b/,Gas Giant,2018,0.7 Jupiters,1.286 x Jupiter,0.05511 AU,4.2 days,< 0.24
,,,,,,,,,,,,
HATS-47 b,981,0.369 Jupiters,14.602,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7594/hats-47-b/,Gas Giant,2020,0.369 Jupiters,1.117 x Jupiter,0.04269 AU,3.9 days,< 0.088
