name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-1 b,519,0.525 Jupiters,9.827,2006,https://exoplanets.nasa.gov/exoplanet-catalog/5210/hat-p-1-b/,Gas Giant,2006,0.525 Jupiters,1.319 x Jupiter,0.05561 AU,4.5 days,0,,,,,,,,,,0.00024,-0.00024,0,0.0335,0.0006,-0.0005,0,14.1,,,0,1.26,,,0,196.411,8.899,-9.217,0,0.618,0.028,-0.029,0,Msini,0,,,0,,,,,,,,,0,F9,6040,90,-90,0,1.35,0.12,-0.12,0,1.24,0.09,-0.09,0,0.23,0.14,-0.14,0,[Fe/H],4.26,0.06,-0.06,0,20h55m09.19s,313.7882932,-34d08m08.61s,-34.135724,208.696,2.064,-2.024,10.589,0.023,-0.023,9.188,0.023,-0.023,10.4055,0.000294,-0.000294
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.000001,-0.000001,0,0.03416,0.00083,-0.00083,0,13.787,1.009,-1.009,0,1.23,0.09,-0.09,0,457.6752,88.9924,-88.9924,0,1.44,0.28,-0.28,0,Mass,0,,,0,1362.14,,,0,1570,50,-50,0,0,G2,5830,140,-140,0,1.23,0.09,-0.09,0,1.46,0.42,-0.42,0,0.14,,,0,[Fe/H],4.36,0.07,-0.07,0,22h29m49.88s,337.4578243,-48d00m11.16s,-48.0030988,137.544,0.795,-0.786,10.092,0.004,-0.004,8.564,0.025,-0.025,9.93697,0.000483,-0.000483,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-36 b,960,1.8482 Jupiters,12.146,2011,https://exoplanets.nasa.gov/exoplanet-catalog/1252/hat-p-36-b/,Gas Giant,2011,1.8482 Jupiters,1.277 x Jupiter,0.0241 AU,1.3 days,0.06,,,,,,,,,,0.0000027,-0.0000027,0,0.0453,0.0013,-0.0013,0,13.45,0.67,-0.67,0,1.2,0.06,-0.06,0,152.55,9.53,-9.53,0,0.48,0.03,-0.03,0,Mass,0,,,0,546.49,,,0,1285,40,-40,0,0,G8,5540,140,-140,0,1.05,0.05,-0.05,0,1.06,0.09,-0.09,0,0.14,0.19,-0.19,0,[Fe/H],4.42,0.02,-0.02,0,00h04m11.18s,1.0465696,-47d21m38.29s,-47.3606352,352.464,4.746,-4.623,12.569,0.069,-0.069,10.914,0.024,-0.024,12.3833,0.00026,-0.00026
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.000001,-0.000001,0,0.03303,0.00056,-0.00056,0,12.778,0.673,-0.673,0,1.14,0.06,-0.06,0,432.2488,60.3877,-60.3877,0,1.36,0.19,-0.19,0,Mass,0,,,0,1176.48,,,0,1555,40,-40,0,0,G5,5640,100,-100,0,1.08,0.06,-0.06,0,1.18,0.24,-0.24,0,0.23,,,0,[Fe/H],4.45,0.08,-0.08,0,01h38m25.23s,24.6051389,-55d46m19.20s,-55.7720006,151.068,0.511,-0.507,10.57,0.006,-0.006,9.03,0.029,-0.029,10.4238,0.000274,-0.000274,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-69 b,1113,3.58 Jupiters,9.774,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7454/hat-p-69-b/,Gas Giant,2019,3.58 Jupiters,1.676 x Jupiter,0.06555 AU,4.8 days,0,,,,,,,,,,0.00000043,-0.00000043,0,0.03762,0.001,-0.001,0,12.823,0.381,-0.381,0,1.144,0.034,-0.034,0,293.03926,25.4264,-25.4264,0,0.922,0.08,-0.08,0,Mass,0.07,,,1,269.88,,,0,1171,26,-26,0,0,G7,5473,121,-121,0,0.74,0.02,-0.02,0,0.81,0.06,-0.06,0,-0.49,0.1,-0.1,0,[Fe/H],4.61,0.01,-0.01,0,03h53m42.96s,58.4290113,-34d19m41.78s,-34.3282716,281.742,1.631,-1.612,13.252,0.069,-0.069,11.284,0.023,-0.023,12.8678,0.000194,-0.000194
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
